#TYPE Selected.System.IO.FileInfo
"FullName","Length","LastWriteTime"
"C:\Program Files\Android\Android Studio\lib\app.jar","359553345","1/21/2023 11:08:20 PM"
"C:\Program Files\CocCoc\Browser\Application\142.0.7444.228\browser.dll","270692312","12/9/2025 12:14:22 PM"
"C:\Program Files\CocCoc\Browser\Application\142.0.7444.228\Installer\browser.7z","442584095","12/10/2025 1:06:47 PM"
"C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","176807000","7/21/2024 2:15:43 PM"
"C:\Program Files\Docker\Docker\resources\docker-desktop.iso","607879168","7/21/2024 2:16:02 PM"
"C:\Program Files\Docker\Docker\resources\wsl\docker-wsl-cli.iso","447639552","7/21/2024 2:16:20 PM"
"C:\Program Files\Freeplane\runtime\lib\modules","113007595","1/28/2023 6:06:34 PM"
"C:\Program Files\Google\Chrome\Application\143.0.7499.109\chrome.dll","263544472","12/9/2025 9:03:35 AM"
"C:\Program Files\HP\Sure Click\4.4.26.1391\servers\manifests\chrome\brchromium\136.0.7103.179\chrome.dll","252827976","7/23/2025 5:26:02 PM"
"C:\Program Files\HP\Sure Click\4.4.27.1800\servers\manifests\chrome\brchromium\140.0.7339.208\chrome.dll","261660488","11/5/2025 8:22:16 PM"
"C:\Program Files\HP\Sure Click\4.4.28.1602\servers\manifests\chrome\brchromium\140.0.7339.249\chrome.dll","262240584","11/22/2025 4:46:02 PM"
"C:\Program Files\HP\Sure Click\4.4.28.1602\tmp\servers\manifests\chrome\brchromium\140.0.7339.249\chrome.dll","262240584","11/22/2025 4:46:02 PM"
"C:\Program Files\HP\Sure Click\ApplicationSupport\chrome\4.4.26.1406\brchromium\138.0.7204.170\chrome.dll","256543048","7/29/2025 8:59:46 PM"
"C:\Program Files\HP\Sure Click\ApplicationSupport\chrome\4.4.28.1607\brchromium\142.0.7444.176\chrome.dll","265814344","11/25/2025 12:24:40 PM"
"C:\Program Files\HP\Sure Click\servers\manifests\chrome\brchromium\140.0.7339.208\chrome.dll","261660488","11/5/2025 8:22:16 PM"
"C:\Program Files\Java\jdk-19\lib\modules","132724513","2/22/2023 3:40:02 PM"
"C:\Program Files\Java\jdk-21\lib\modules","137987752","3/11/2024 4:52:08 PM"
"C:\Program Files\Mozilla Firefox\xul.dll","161279104","9/22/2025 2:10:35 PM"
"C:\Program Files\Proton\VPN\v4.3.5\ServiceData\Updates\ProtonVPN_v4.3.7_x64.exe","119464632","11/26/2025 10:09:23 AM"
"C:\Program Files\Proton\VPN\v4.3.5\ServiceData\Updates\ProtonVPN_v4.3.9_x64.exe","114249712","12/10/2025 10:54:39 AM"
"C:\Program Files\TestProject Agent\app\appium\server.exe","265029064","10/31/2021 9:53:26 PM"
"C:\Program Files\TestProject Agent\runtime\lib\modules","138556270","10/6/2019 6:49:00 PM"
"C:\Program Files\Trade-Ideas\Trade-Ideas Pro AI\libcef.dll","197396896","6/30/2023 2:18:04 PM"
"C:\Program Files\WSL\system.vhd","407491072","10/6/2025 8:52:52 PM"
"C:\Program Files\WSL\tools\modules.vhd","195080704","6/5/2025 7:01:46 PM"
"C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe","114201184","2/8/2023 12:35:16 AM"
"C:\Program Files (x86)\Google\GoogleUpdater\crx_cache\dafeeaf3f8f278d63ee189756012b57f0e6b076a7eef3ddebafeaacdc6009d50","440577825","12/11/2025 3:10:59 PM"
"C:\Program Files (x86)\Microsoft\Edge\Application\141.0.3537.92\msedge.dll","300062288","10/20/2025 1:56:31 PM"
"C:\Program Files (x86)\Microsoft\EdgeCore\141.0.3537.92\msedge.dll","300062288","10/20/2025 1:56:31 PM"
"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\141.0.3537.92\msedge.dll","300062288","10/20/2025 1:56:31 PM"
"C:\Users\tuant\.android\avd\flutter_emulator.avd\cache.img.qcow2","138805248","2/7/2024 5:03:15 PM"
"C:\Users\tuant\.android\avd\flutter_emulator.avd\userdata-qemu.img","6442450944","2/7/2024 4:57:47 PM"
"C:\Users\tuant\.android\avd\flutter_emulator.avd\userdata-qemu.img.qcow2","1657012736","2/7/2024 5:03:15 PM"
"C:\Users\tuant\.android\avd\flutter_emulator.avd\snapshots\default_boot\ram.img","2147549184","2/7/2024 4:57:48 PM"
"C:\Users\tuant\.android\avd\Pixel_6_Pro_API_33.avd\sdcard.img","536870912","3/2/2023 10:38:42 AM"
"C:\Users\tuant\.android\avd\Pixel_6_Pro_API_33.avd\userdata-qemu.img","6442450944","3/2/2023 10:39:02 AM"
"C:\Users\tuant\.android\avd\Pixel_6_Pro_API_33.avd\userdata-qemu.img.qcow2","1936261120","12/25/2023 7:49:28 PM"
"C:\Users\tuant\.android\avd\Pixel_6_Pro_API_33.avd\snapshots\default_boot\ram.img","2147549184","3/2/2023 10:39:03 AM"
"C:\Users\tuant\.gradle\caches\7.5\generated-gradle-jars\gradle-api-7.5.jar","153591147","12/25/2023 4:47:23 PM"
"C:\Users\tuant\.gradle\caches\8.2.1\generated-gradle-jars\gradle-api-8.2.1.jar","167359701","7/13/2023 1:56:40 PM"
"C:\Users\tuant\.gradle\caches\jars-9\de874551b52843e5556b06230c45e0e7\kotlin-compiler-embeddable-1.7.10.jar","142757733","12/25/2023 4:46:47 PM"
"C:\Users\tuant\.minikube\cache\iso\amd64\minikube-v1.30.1-amd64.iso","296577024","4/11/2023 1:26:23 PM"
"C:\Users\tuant\.minikube\cache\iso\amd64\minikube-v1.32.1-amd64.iso","307189760","3/15/2024 6:19:07 PM"
"C:\Users\tuant\.minikube\cache\kic\amd64\kicbase_v0.0.39@sha256_bf2d9f1e9d837d8deea073611d2605405b6be904647d97ebd9b12045ddfe1106.tar","391679488","4/11/2023 1:24:10 PM"
"C:\Users\tuant\.minikube\cache\linux\amd64\v1.20.0\kubelet","113974120","11/14/2023 10:08:20 AM"
"C:\Users\tuant\.minikube\cache\linux\amd64\v1.28.3\kubelet","110780416","3/25/2024 2:30:03 PM"
"C:\Users\tuant\.minikube\cache\preloaded-tarball\preloaded-images-k8s-v18-v1.22.3-docker-overlay2-amd64.tar.lz4","415783975","11/10/2023 12:13:15 PM"
"C:\Users\tuant\.minikube\cache\preloaded-tarball\preloaded-images-k8s-v18-v1.26.3-docker-overlay2-amd64.tar.lz4","416308310","4/11/2023 1:23:46 PM"
